2-甲基丁酰辅酶A脱氢酶缺乏症	ACADSB
3-甲基巴豆酰辅酶A羟化酶2型缺乏症	MCCC2
3-甲基戊烯二酸尿症Ill型	OPA3
3-甲基戊烯二酸尿症I型	AUH
3-甲基戊烯二酸尿症V型	DNAJC19
3-羟基-3-甲基戊二酰－辅酶A裂解酶缺乏症	HMGCL
3-羟基异丁酰辅酶A水解酶缺乏症	HIBCH
3-羟酰基辅酶A脱氢酶缺乏症	HADH
a1-抗胰蛋白酶缺乏症	SERPINA1
ABCD综合征	EDNRB
Aicardi-Goutieres综合征1型	TREX1
Allan-Herndon-Dudley综合征	SLC16A2
Alport综合征	COL4A3
Alstrom综合征	ALMS1
Amish婴儿癫痫综合征	ST3GAL5
Antley-Bixler综合征	FGFR2
Arts综合征	PRPS1
Athabascan型重症联合免疫缺陷	DCLRE1C
a-甘露糖苷贮积症	MAN2B1
Bardet-Biedl综合征10型	BBS10
Bardet-Biedl综合征1型	BBS1
Bardet-Biedl综合征2型	BBS2
Bartter综合征1型	SLC12A1
Bartter综合征2型	KCNJ1
BH4缺乏性苯丙酮血症	PTS
Blomstrand软骨发育不全	PTH1R
Bloom综合征	BLM
B-地中海贫血	HBB
B-地中海贫血-X连锁血小板减少症	GATA1
Canavan 病	ASPA
Carpenter综合征1型	RAB23
CBS引起的同型半胱氨酸尿症	CBS
Chalevoix-Saguenay型痉挛性共济失调	SACS
Charcot-Marie-Tooth病，4F型	PRX
Charcot-Marie-Tooth病，4H型	FGD4
CHAT基因相关先天性肌无力综合征	CHAT
Chediak-Higashi综合征	LYST
CHRNE基因相关先天性肌无力综合征	CHRNE
C综合征	CD96
DOK7基因相关先天性肌无力综合征	DOK7
Donnai-Barrow综合征	LRP2
D-轻基戊二酸尿症	D2HGDH
Ehlers-Danlos综合征VIIC 型	ADAMTS2
Gillespie综合征	PAX6
Gracile综合征	BCS1L
Greenberg 发育不良	LBR
Griscelli综合征1型	MYO5A
Griscelli综合征2型	RAB27A
HFE-血色素沉着症	HFE
Hydrolethalus综合征 1型	HYLS1
I型X连锁淋巴增生综合征	SH2D1A
Johanson-Blizzard综合征	UBR1
Joubert综合征3型	AHl1
Joubert综合征5型	CEP290
Joubert综合征6型	TMEM67
Kenny-Caffey综合征1型	TBCE
Krabbe病	GALC
Lafora肌阵挛型癫痫	EPM2A,NHLRC1
Leigh综合征，French-Canadian型	LRPPRC
Lowe综合征	OCRL
Lujan-Fryns 综合征	MED12
Mandibuloacral发育不良伴B型脂肪代谢障碍	ZMPSTE24
Marinesco-Sjogren综合征	SIL1
Martsolf综合征	RAB3GAP2
Meckel 综合征5型	RPGRIP1L
Meckel-Gruber综合征	MKS1
Menkes病	ATP7A
Mohr-Tranebjaerg 综合征	TIMM8A
MPVl7-相关肝脑线粒体DNA缺失综合征	MPV17
Mulibrey侏儒症	TRIM37
N(5,10)-亚甲基四氢叶酸缺乏型高胱氨酸尿症/高同型半胱氨酸血症	MTHFR
Nevo综合征	PLOD1
Nijmegen断裂综合征	NBN
Norrie病	NDP
N-乙酰谷氨酸合成酶缺乏症	NAGS
Omenn综合征	RAG1
Pelizaeus-Merzbacher病	PLP1
Pendred综合征	SLC26A4
Pierson 综合征	LAMB2
POLG相关疾病	POLG
PROP1基因相关联合垂体激素缺乏症	POU1F1,PROP1
RAPSN基因相关先天性肌无力综合征	RAPSN
Renpenning综合征1型	PQBP1
Roberts 综合征	ESCO2
SaIla病	SLC17A5
Sandhoff 病	HEXB
Sanfilippo综合征	HGSNAT
Schindler症I型	NAGA
Schneckenbecken发育不良	SLC35D1
Schopf-Schulz-Passarge综合征	WNT10A
Seckel 综合征1型	ATR
Senior-Loken综合征5型	IQCB1
Shwachman-Diamond综合征	SBDS
Simpson-Golabi-Behmel综合征2型	OFD1
Sjogren-Larsson 综合征	ALDH3A2
Smith-LemIi-Opitz 综合征	DHCR7
Stuve-Wiedemann综合征	LIFR
Tay-Sachs 病	HEXA
Tetra-Amelia病	WNT3
T细胞免疫缺陷，先天性脱发，指甲营养不良	FOXN1
T细胞阴性 ，B细胞阳性 ，NK细胞阴性重症联合免疫缺陷	JAK3
T细胞阴性重症联合免疫缺陷	RAG2
Unverricht-Lundborg肌阵挛	CSTB
Usher综合征IB型	MYO7A
Usher综合征IC型	USH1C
Usher综合征ID型	CDH23
Usher综合征IF型	PCDH15
Usher综合征IG型	USH1G
Usher综合征IIA型	USH2A
Usher综合征IIC型	ADGRV1
Usher综合征IIIA型	CLRN1
Walker-Warburg综合征	POMT1,POMT2
Warburg微综合征	RAB3GAP1
Wiskott-Aldrich综合征	WAS
Wolcott-Rallison 发育不良	EIF2AK3
X连锁精神发育迟滞 Christianson 型	SLC9A6
X连锁点状软骨发育不良1型	ARSE
X连锁精神发育迟滞10型	HSD17B10
X连锁肾上腺脑白质营养不良	ABCD1
X连锁视网膜劈裂	RS1
X连锁无丙种球蛋白血症	BTK
X连锁重症联合免疫缺陷	IL2RG
氨甲酰磷酸合成酶I缺乏致高氨血症	CPS1
半乳糖血症	GALT
包涵体肌病2型	GNE
备解素缺乏症	CFP
贲门失弛缓-原发性肾上腺机能不全-无泪症	AAAS
苯丙酮尿症	PAH
丙酸血症，PCCA相关	PCCA
丙酸血症，PCCB相关	PCCB
丙酮酸羧化酶缺乏症	PC
丙酮酸脱氢酶E1-a基缺乏症	PDHA1
丙酮酸脱氢酶E3结合蛋白缺乏症	PDHX
丙酮酸脱氢酶磷酸酶缺乏症	PDP1
玻璃样纤维瘤病综合征	ANTXR2
常染色体隐性先天性鱼鳞癣l型	TGM1
常染色体隐性遗传Alport综合征	COL4A4
常染色体隐性遗传多囊肾病	PKHD1
常染色体隐性遗传颅骨干骺端发育不良	GJA1
常染色体隐性遗传皮肤松弛症II型	ATP6V0A2
常染色体隐性遗传皮肤松弛症I型	EFEMP2,FBLN5
成骨不全症VIII型	LEPRE1
成骨不全症VII型	CRTAP
尺骨和腓骨缺失严重肢体缺陷	WNT7A
垂体激素缺乏症联合3型	LHX3
脆性角膜综合征 1型	ZNF469
大疱性表皮松懈症伴肌营养不 良	PLEC
大疱性表皮松懈症伴幽门闭锁	ITGA6
胆固醇合成障碍	DHCR24
胆甾烯醇异常增多症	SC5D
蛋白C缺乏性血栓症	PROC
低磷酸酯酶症	ALPL
低磷性佝偻病	DMP1
低镁血症	CLDN19
短链酰基辅酶A脱氢酶缺乏症	ACADS
多发性翼状胬肉综合征Escobar型	CHRNG
多诺霍综合征	INSR
多种酰基辅酶A脱氢酶缺乏症	ETFB
二氢硫辛酰胺脱氢酶缺乏症	DLD
二氢嘧啶脱氢酶缺乏症	DPYD
范可尼贫血	FANCC
芳香族L-氨基酸脱羧酶缺乏症	DDC
非赫利茨型交界大疱性表皮松懈	COL17A1,ITGB4
非综合征型听力丧失与耳聋	GJB2
肺部表面活性剂代谢功能障碍1型	SFTPB
肺泡微结石症	SLC34A2
分节发育不良	HSPG2
枫糖浆尿症IA型	BCKDHA
枫糖浆尿症IB型	BCKDHB
枫糖浆尿症II型	DBT
弗雷泽综合征	FRAS1,FREM2
福山型先天性肌营养不良	FKTN
辅酶Q10缺乏症	COQ2,PDSS1,PDSS2
辅酶Q10缺乏症4型	ADCK3
复合型鞘脂缺乏症	PSAP
复合氧化磷酸化缺陷1型	GFM1
复合氧化磷酸化缺陷2型	MRPS16
复合氧化磷酸化缺陷3型	TSFM
复合氧化磷酸化缺陷5型	MRPS22
甘氨酸脑病	AMT,GLDC
甘氨酸脑病  (GCE型）	GCSH
肝静脉闭塞性疾病伴免疫缺陷	SP110
杆状体肌病2型	NEB
杆状体肌病5型	TNNT1
高lgM免疫缺陷症	CD40LG
高鸟苷酸－高氨－高同型瓜氨酸综合征	SLC25A15
共济失调伴维生素E缺乏症	TTPA
共济失调性毛细血管扩张症	ATM
谷胱甘肽合成酶缺乏症	GSS
骨发育不全症2型	SLC26A2
骨硬化病1型	TCIRG1
骨硬化病3型	CA2
骨硬化病5型	OSTM1
骨质疏松－假神经胶质瘤综合征	LRP5
瓜氨酸血症I型	ASS1
关节弯曲－肾功能障碍－胆汁淤积综合征	VPS33B
光敏感型毛发低硫营养不良	GTF2H5
胱氨酸尿症	SLC3A1
胱氨酸贮积症	CTNS
过氧化物酶体酰基辅酶A氧化酶缺乏症	ACOXl
赫利茨型交界性大疱性表皮松懈症LAMA3型	LAMA3
赫利茨型交界性大疱性表皮松懈症LAMB3型	LAMB3
赫利茨型交界性大疱性表皮松懈症LAMC2型	LAMC2
红细胞丙酮酸激酶缺乏症	PKLR
琥珀酸半醛脱氢酶缺乏症	ALDH5A1
肌管性肌病l型	MTM1
肌腺苷酸脱氢酶缺乏症	AMPD1
肌眼脑病	POMGNT1
极长链酰基辅酶A脱氢酶缺乏症	ACADVL
