组编号	|	编号	|	编号颜色	|	用药建议	|	用药建议颜色	|	建议详细
1	|	氨基糖苷1-1	|	#ffffff	|	正常使用（<style font_color='#ff0000'>6岁以下禁用</style>）	|	#ffffff	|	检测结果，您的孩子不携带<style italic="true">RNR1</style>所测位点基因突变，提示可正常使用。<br/>6岁以下儿童禁用氨基糖苷类抗生素。
	|	氨基糖苷2-1	|	#ffffff	|		|		|	
2	|	氨基糖苷1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">RNR1</style>基因突变，禁用氨基糖胺类抗生素。<br/>6岁以下儿童禁用氨基糖苷类抗生素。
	|	氨基糖苷2-1	|	#ffffff	|		|		|	
3	|	氨基糖苷1-1	|	#ffffff	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">RNR1</style>基因突变，禁用氨基糖胺类抗生素。<br/>6岁以下儿童禁用氨基糖苷类抗生素。
	|	氨基糖苷2-2	|	#ff0000	|		|		|	
4	|	氨基糖苷1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">RNR1</style>基因突变，禁用氨基糖胺类抗生素。<br/>6岁以下儿童禁用氨基糖苷类抗生素。
	|	氨基糖苷2-2	|	#ff0000	|		|		|	
5	|	伏立康唑1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>正常代谢型，伏立康唑代谢正常，提示可正常使用。
6	|	伏立康唑1-2	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>中间代谢型，伏立康唑代谢较慢，易于产生毒副作用，提示可遵医嘱减少用药剂量。
7	|	伏立康唑1-3	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>快代谢型，伏立康唑代谢快，药效差，提示可遵医嘱增加用药剂量。
8	|	伏立康唑1-4	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>弱代谢型，伏立康唑代谢较慢，易于产生毒副作用，提示可遵医嘱减少用药剂量。
9	|	伏立康唑1-5	|	#ffff00	|	换药	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>超快代谢型，伏立康唑代谢快，药效差，提示可遵医嘱换用其他抗真菌药物，如艾沙康唑等。
10	|	红霉素1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子不携带<style italic="true">G6PD</style>基因所测突变；<style italic="true">ABCC2</style>相关的红霉素代谢正常。提示可正常使用。
	|	红霉素2-1	|	#ffffff	|		|		|	
11	|	红霉素1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子不携带<style italic="true">G6PD</style>基因所测突变；<style italic="true">ABCC2</style>相关的红霉素代谢较快。提示可正常使用。
	|	红霉素2-2	|	#ffffff	|		|		|	
12	|	红霉素1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子不携带<style italic="true">G6PD</style>基因所测突变；<style italic="true">ABCC2</style>相关的红霉素代谢较快。提示可正常使用。
	|	红霉素2-3	|	#ffffff	|		|		|	
13	|	红霉素1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">G6PD</style>基因突变，红霉素导致溶血风险高；<style italic="true">ABCC2</style>相关的红霉素代谢正常。请禁用红霉素，并就医进行葡萄糖-6-磷酸脱氢酶缺乏症检测。
	|	红霉素2-1	|	#ffffff	|		|		|	
14	|	红霉素1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">G6PD</style>基因突变，红霉素导致溶血风险高；<style italic="true">ABCC2</style>相关的红霉素代谢较快。请禁用红霉素，并就医进行葡萄糖-6-磷酸脱氢酶缺乏症检测。
	|	红霉素2-2	|	#ffffff	|		|		|	
15	|	红霉素1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">G6PD</style>基因突变，红霉素导致溶血风险高；<style italic="true">ABCC2</style>相关的红霉素代谢快。请禁用红霉素，并就医进行葡萄糖-6-磷酸脱氢酶缺乏症检测。
	|	红霉素2-3	|	#ffffff	|		|		|	
16	|	奥美拉唑1-1	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>正常代谢型，奥美拉唑代谢快，药效较差，提示可遵医嘱增加用药剂量。
17	|	奥美拉唑1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>中间代谢型，奥美拉唑代谢较慢，药效较好，提示可正常使用。
18	|	奥美拉唑1-3	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>快代谢型，奥美拉唑代谢快，药效较差，提示可遵医嘱增加用药剂量。
19	|	奥美拉唑1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>弱代谢型，奥美拉唑代谢慢，药效好，提示可正常使用。
20	|	奥美拉唑1-5	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>超快代谢型，奥美拉唑代谢快，药效差，提示可遵医嘱增加用药剂量（荷兰皇家药剂师协会建议增加100%-200%的剂量）。
21	|	兰索拉唑1-1	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>正常代谢型，兰索拉唑代谢快，药效较差，提示可遵医嘱增加用药剂量。
22	|	兰索拉唑1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>中间代谢型，兰索拉唑代谢较慢，药效较好，提示可正常使用。
23	|	兰索拉唑1-3	|	#ffffff	|	增加用药剂量	|	#ffffff	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>快代谢型，兰索拉唑代谢快，药效较差，提示可遵医嘱增加用药剂量。
24	|	兰索拉唑1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>弱代谢型，兰索拉唑代谢慢，药效好，提示可正常使用。
25	|	兰索拉唑1-5	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>超快代谢型，兰索拉唑代谢快，药效差，提示可遵医嘱增加用药剂量（荷兰皇家药剂师协会建议增加100%-200%的剂量）。
26	|	泮托拉唑1-1	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>正常代谢型，泮托拉唑代谢快，药效较差，提示可遵医嘱增加用药剂量。
27	|	泮托拉唑1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>中间代谢型，泮托拉唑代谢较慢，药效较好，提示可正常使用。
28	|	泮托拉唑1-3	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>快代谢型，泮托拉唑代谢快，药效较差，提示可遵医嘱增加用药剂量。
29	|	泮托拉唑1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>弱代谢型，泮托拉唑代谢慢，药效好，提示可正常使用。
30	|	泮托拉唑1-5	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子属于<style italic="true">CYP2C19</style>超快代谢型，泮托拉唑代谢快，药效差，提示可遵医嘱增加用药剂量（荷兰皇家药剂师协会建议增加100%-200%的剂量）。
31	|	黄连素1-1	|	#ffff00	|	请勿与右美沙芬同用	|	#ffff00	|	检测结果提示，您孩子不携带<style italic="true">CYP2D6</style> *10单体型，使用黄连素导致的右美沙芬药效降低，请勿与右美沙芬同用。
